"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Group"
"GO:0043113","receptor clustering","11/440","83/25730",0.132530120481928,7.75,8.1243366333052,1.72522835488515e-07,7.62755277853197e-06,5.49437263083695e-06,"23859/192167/18189/234214/12558/14812/243499/223254/14806/70546/13383",11,"ADP_C_vs_ADP_N"
"GO:1990778","protein localization to cell periphery","24/440","410/25730",0.0585365853658537,3.42305986696231,6.52360413302003,2.02787387344663e-07,8.82565977095684e-06,6.3574077954734e-06,"23859/18191/81907/74053/320840/76260/13483/109676/11931/269109/218503/12296/65945/56637/74513/12325/70546/56839/26414/104718/13383/19122/108058/20336",24,"ADP_C_vs_ADP_N"
"GO:0008361","regulation of cell size","17/440","216/25730",0.0787037037037037,4.60237794612795,7.01278060555494,2.14111079397696e-07,9.09737086286217e-06,6.55313007104536e-06,"13640/13508/23797/52822/16531/243743/18472/330914/76499/330908/19211/56637/18186/17756/26409/29869/107723",17,"ADP_C_vs_ADP_N"
"GO:0031644","regulation of nervous system process","15/440","169/25730",0.0887573964497041,5.19029047875202,7.20878278080725,2.36701922440951e-07,9.77066492220172e-06,7.03812552890076e-06,"192167/116837/18189/81907/50873/78830/14167/14812/93742/11820/19211/14806/116838/56637/15560",15,"ADP_C_vs_ADP_N"
"GO:0007254","JNK cascade","16/440","194/25730",0.0824742268041237,4.82286785379569,7.04980481579528,2.58220082536239e-07,1.04435677825768e-05,7.52283919350658e-06,"14169/26398/50873/14167/18795/14083/16001/18472/11820/209012/14806/224938/26409/26414/270190/12540",16,"ADP_C_vs_ADP_N"
"GO:0006813","potassium ion transport","18/440","246/25730",0.0731707317073171,4.27882483370288,6.81577661557442,2.80577687387713e-07,1.11230996069347e-05,8.01232791498003e-06,"238161/14682/13483/20614/15165/16508/109676/11931/16531/110862/269109/16510/94249/331004/13383/19122/107723/16519",18,"ADP_C_vs_ADP_N"
"GO:0050767","regulation of neurogenesis","26/440","483/25730",0.0538302277432712,3.14784490871447,6.28542966740929,3.20425102451666e-07,1.25782559825144e-05,9.06052405281284e-06,"20238/13640/13508/74053/320840/52822/19055/235106/331461/20320/14083/13131/18472/330914/20616/330908/13047/19211/56637/18186/17756/108138/67299/29869/17257/19876",26,"ADP_C_vs_ADP_N"
"GO:1904062","regulation of monoatomic cation transmembrane transport","19/440","276/25730",0.0688405797101449,4.0256093544137,6.66580726662621,3.37169381047724e-07,1.29810211703374e-05,9.35064882662716e-06,"238161/238871/19055/13483/14167/20541/109676/11931/14812/269109/18578/12288/225055/12296/20866/22063/13383/19122/108058",19,"ADP_C_vs_ADP_N"
"GO:0040013","negative regulation of locomotion","22/440","363/25730",0.0606060606060606,3.54407713498623,6.43891081670948,3.64261769801401e-07,1.36308796849048e-05,9.81876290463197e-06,"18183/19270/380916/109934/18795/76707/260315/19091/14083/76499/52662/259302/228564/320271/19211/50768/56637/18186/56363/17257/12552/19876",22,"ADP_C_vs_ADP_N"
"GO:0051961","negative regulation of nervous system development","15/440","177/25730",0.0847457627118644,4.95570107858243,6.96550371977386,4.30993263180219e-07,1.55468200520144e-05,1.11988766345548e-05,"320840/52822/19055/235106/14083/13131/11820/330908/19211/56637/18186/17756/29869/17257/19876",15,"ADP_C_vs_ADP_N"
