"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig","log10_p"
"Sidt1",0.000295775348429997,-0.728721999279034,0.154,0.312,1,"Not significant",0
"Foxk2",0.000296954654441106,-0.992796935299217,0.103,0.239,1,"Not significant",0
"Mmp16",0.000297084626705533,-0.589568738310006,0.385,0.558,1,"Not significant",0
"Gm1604b",0.000298007301807835,-1.2827526404483,0.045,0.156,1,"Not significant",0
"Raph1",0.00029826423592469,-0.748888129009781,0.128,0.279,1,"Not significant",0
"Dcp1a",0.000298736900004821,-1.85825481192039,0.026,0.127,1,"Not significant",0
"Invs",0.000298918211090604,-1.2208248913051,0.064,0.187,1,"Not significant",0
"Snx9",0.000299965194798923,-2.21765761222641,0.013,0.105,1,"Not significant",0
"A230006K03Rik",0.000300139999850796,-0.476675231128815,0.5,0.69,1,"Not significant",0
"Nrg1",0.00030017704229338,-0.831634578700874,0.609,0.697,1,"Not significant",0
"Rab28",0.000303770424874231,-1.65472141783526,0.038,0.147,1,"Not significant",0
"Cpsf6",0.00030470324378627,-0.635862390583941,0.141,0.29,1,"Not significant",0
