"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Pdhb",0.408921241108715,0.00450134397109947,0.224,0.211,1
"9330111N05Rik",0.409047673896464,0.297498883940082,0.053,0.047,1
"Tti2",0.409050741762129,0.108408024957908,0.061,0.055,1
"Pdcl3",0.409081658870274,-0.249629808674586,0.032,0.037,1
"Eif2b3",0.409088138646069,-0.0503636099891387,0.18,0.191,1
"Zcrb1",0.409189260577215,0.0490539344606638,0.238,0.226,1
"Ntn1",0.409444436141546,0.0228405168759007,0.083,0.075,1
"Sycp2",0.409548656495155,0.182675166727795,0.053,0.048,1
"Nup205",0.409681419988117,0.00769261689050249,0.262,0.248,1
"Gm33533",0.409704615124759,-0.162033748435197,0.062,0.069,1
"Eif4e3",0.409728428872939,-0.051249881359184,0.215,0.227,1
"Stard3",0.409830107937582,0.176867597499673,0.074,0.067,1
"Acad8",0.409853207629389,0.119110037950329,0.071,0.065,1
"Plce1",0.410148413584827,-0.0698307303529089,0.077,0.085,1
"Gm12992",0.410282552178043,-0.33100992048396,0.008,0.011,1
"Cpm",0.410282552178043,-0.33100992048396,0.008,0.011,1
"Igfals",0.410282552178043,-0.33100992048396,0.008,0.011,1
"Capn15",0.410505828234316,0.0423093999924397,0.423,0.408,1
"Htr2c",0.410566163191153,-0.153071834923567,0.368,0.376,1
"Gm29536",0.41057782468282,-0.294484044458846,0.008,0.011,1
"Snrpf",0.410652432577789,-0.217005291781128,0.032,0.037,1
"Gpcpd1",0.410706463077237,0.0719161013114105,0.337,0.326,1
"Htr7",0.410793276802258,0.0401036223999816,0.184,0.173,1
