"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig"
"Rnf150",5.32253278503868e-14,-0.515527427865724,0.21,0.351,9.39107684592225e-10,"Down"
"Slc30a5",5.39361582480115e-14,-1.07267409298608,0.068,0.16,9.51649576127915e-10,"Down"
"Rbx1",5.41616427402939e-14,-0.986259341168607,0.062,0.152,9.55628024509745e-10,"Down"
"Gdap2",5.47915760146693e-14,-1.37130210014961,0.042,0.121,9.66742567202824e-10,"Down"
"Hcfc2",5.61843819361343e-14,-1.34453519058683,0.04,0.117,9.91317234881153e-10,"Down"
"Kat2b",5.64836494523704e-14,-0.794419563297855,0.111,0.22,9.96597510937624e-10,"Down"
"Ppip5k1",5.71030221255362e-14,-0.442268621503757,0.306,0.472,1.00752572238296e-09,"Down"
"Cul1",5.85043304083089e-14,-0.478619449027863,0.213,0.358,1.0322504057242e-09,"Down"
"Zfp654",5.90643532920421e-14,-1.13439187035798,0.055,0.14,1.04213144948479e-09,"Down"
"Terf1",6.04299460837869e-14,-1.17637456153072,0.066,0.156,1.06622596870234e-09,"Down"
"Spats2",6.07771601448143e-14,-1.01375009553153,0.072,0.166,1.0723522135951e-09,"Down"
"Adck1",6.13240995521472e-14,-1.01423219914199,0.078,0.174,1.08200241249808e-09,"Down"
"Cdon",6.15031932242573e-14,-0.941558102055744,0.06,0.15,1.0851623412488e-09,"Down"
"Fam189a1",6.16350559281269e-14,-0.516911978867931,0.263,0.411,1.08748892679587e-09,"Down"
"Arid1a",6.16904492110459e-14,-0.49211057199107,0.196,0.337,1.08846628587969e-09,"Down"
"Hif1a",6.20495352797071e-14,-1.35261753688469,0.037,0.113,1.09480200047515e-09,"Down"
"Ccdc91",6.22997905442806e-14,-1.69992484761098,0.03,0.1,1.09921750436329e-09,"Down"
"Gclc",6.34410834443219e-14,-0.920082264564124,0.089,0.189,1.11935447629162e-09,"Down"
"Rab27a",6.48469194207194e-14,-0.749311479693871,0.104,0.212,1.14415904625917e-09,"Down"
"Ipo7",6.5031423438142e-14,-1.04144114575978,0.071,0.164,1.14741443514258e-09,"Down"
"Insig2",6.55369793595029e-14,-1.9348909500782,0.022,0.087,1.15633446381907e-09,"Down"
"Bcap29",6.56033576079565e-14,-1.63433650598341,0.035,0.108,1.15750564163479e-09,"Down"
"Man2a1",6.67880499548532e-14,-0.999588367155785,0.07,0.163,1.17840835340343e-09,"Down"
"Dzip1",6.72494192388062e-14,-0.41224499090332,0.267,0.427,1.1865487530495e-09,"Down"
"Arsg",6.8707933811541e-14,-2.08381465059128,0.019,0.082,1.21228278417083e-09,"Down"
"Tkt",7.02274901110001e-14,-1.16485122268219,0.054,0.139,1.23909383551849e-09,"Down"
"Top1",7.03588087013534e-14,-0.427693282000012,0.269,0.428,1.24141082072668e-09,"Down"
"Fbxo16",7.05712704694963e-14,-1.29393513663478,0.057,0.142,1.24515949616379e-09,"Down"
"Btbd3",7.1365204683316e-14,-1.16975572541405,0.057,0.143,1.25916767143243e-09,"Down"
"Adamts6",7.20207536652658e-14,-1.41254159761507,0.041,0.118,1.27073417766995e-09,"Down"
"Ski",7.2135941863311e-14,-0.648675945255928,0.139,0.261,1.27276655823626e-09,"Down"
"Rlf",7.2170517725549e-14,-0.6200718127389,0.151,0.274,1.27337661474959e-09,"Down"
"C2cd3",7.24252377618104e-14,-0.755948419930535,0.114,0.224,1.27787089506938e-09,"Down"
"Ccbe1",7.26037516337588e-14,-1.39740181772247,0.043,0.121,1.28102059382604e-09,"Down"
