"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cnot21",0.00470362945882538,0.548433116200695,0.262,0.191,1,"5","Cnot2"
"Parp81",0.00477002969158768,0.399021824981955,0.418,0.336,1,"5","Parp8"
"Ncoa71",0.00478477175447379,0.389326045283713,0.52,0.436,1,"5","Ncoa7"
"Smurf2",0.0048513770907901,0.536814843072359,0.283,0.21,1,"5","Smurf2"
"Tra2b",0.00490923260491956,0.545530472352373,0.328,0.257,1,"5","Tra2b"
"Calm21",0.00518022819306488,0.474870365187546,0.291,0.214,1,"5","Calm2"
"Vcp1",0.00539302496557405,0.427496971441965,0.385,0.305,1,"5","Vcp"
"Cep120",0.00539985482837758,0.506688537526047,0.287,0.212,1,"5","Cep120"
"Kcnq52",0.00545258341996201,0.499783029652419,0.484,0.411,1,"5","Kcnq5"
"Ctif",0.00548412344558628,0.30416601855268,0.57,0.489,1,"5","Ctif"
"Ube2e2",0.00564022131328321,0.220061127253424,0.799,0.747,1,"5","Ube2e2"
"Stxbp51",0.00584500121358159,0.351097006212519,0.393,0.311,1,"5","Stxbp5"
"Rab3c1",0.00596419249176815,0.425534123639881,0.484,0.414,1,"5","Rab3c"
"Ftx1",0.00606027506083913,0.310077984539472,0.648,0.569,1,"5","Ftx"
"Mbtd12",0.00628935770247232,0.413597826826747,0.406,0.327,1,"5","Mbtd1"
"Aff4",0.00641332487248221,0.473207315964902,0.447,0.372,1,"5","Aff4"
"Celf4",0.00646273492667414,0.134428409129131,0.98,0.932,1,"5","Celf4"
"Lgals81",0.0065837354879751,0.511632100470182,0.287,0.214,1,"5","Lgals8"
"Mcph1",0.00694375293220329,0.537732101791966,0.328,0.254,1,"5","Mcph1"
"Efr3b",0.00702155094536386,0.523607837166124,0.43,0.364,1,"5","Efr3b"
"Epb41l4b2",0.00725406252500638,0.404370498957357,0.41,0.333,1,"5","Epb41l4b"
"Gbf11",0.00726037620480047,0.292035846945833,0.48,0.391,1,"5","Gbf1"
"Uty1",0.00733508890004043,0.454856839092583,0.307,0.234,1,"5","Uty"
"Srgap2",0.00735886654533553,0.379717704682067,0.57,0.503,1,"5","Srgap2"
"Cep1702",0.00747591359853073,0.457679832212598,0.373,0.302,1,"5","Cep170"
"Tmtc22",0.00795830924729404,0.416245836467256,0.283,0.213,1,"5","Tmtc2"
"Ndfip11",0.00819446220212309,0.567266799443001,0.316,0.25,1,"5","Ndfip1"
"Zdhhc1",0.00858799531308552,0.301751128814517,0.496,0.415,1,"5","Zdhhc1"
"Mpdz2",0.00882755242081893,0.380025648554502,0.307,0.23,1,"5","Mpdz"
"Kat6a",0.00883225874328198,0.507554604931627,0.25,0.184,1,"5","Kat6a"
"Foxp12",0.00887526582600749,0.269035010080526,0.484,0.394,1,"5","Foxp1"
"Nfx11",0.00891512825422681,0.325765555158848,0.451,0.37,1,"5","Nfx1"
"Casc31",0.0091201442943779,0.519344146708574,0.287,0.218,1,"5","Casc3"
"Acadsb1",0.00926501069625215,0.492478154126655,0.34,0.271,1,"5","Acadsb"
"Tbck",0.00943122077286147,0.44970435132698,0.266,0.198,1,"5","Tbck"
"Trim46",0.00955477353228643,0.421228829223814,0.324,0.25,1,"5","Trim46"
"Ptprz12",0.00957423987974248,0.292154850177322,0.525,0.436,1,"5","Ptprz1"
"1110051M20Rik2",0.00959681824972139,0.17572614534764,0.648,0.557,1,"5","1110051M20Rik"
"H13",0.00995253514604335,0.489572447438206,0.316,0.245,1,"5","H13"
"Zeb2",6.72765102127177e-108,3.07529893259224,0.616,0.106,1.17982815960043e-103,"6","Zeb2"
"Ostm1",5.8544353305133e-61,3.19515133869749,0.301,0.04,1.02669232391212e-56,"6","Ostm1"
"Cadps22",2.14424868813231e-53,1.87450840753177,0.744,0.31,3.76036892437763e-49,"6","Cadps2"
"Adarb2",4.27927485461714e-49,1.1064478913377,0.945,0.56,7.50456431254208e-45,"6","Adarb2"
"6330411D24Rik",1.64064972675341e-46,1.97136106699436,0.58,0.195,2.87720742580745e-42,"6","6330411D24Rik"
"Gm45194",3.31613876984105e-46,2.97482233684644,0.265,0.041,5.81551256067025e-42,"6","Gm45194"
"Grm73",3.42273134569302e-43,0.970078122436164,0.991,0.845,6.00244396094184e-39,"6","Grm7"
"Ralyl2",6.46069233726319e-43,1.09012305498949,0.995,0.864,1.13301161518585e-38,"6","Ralyl"
"Grik11",7.4497665331822e-32,1.20020876282256,0.781,0.433,1.30646555692416e-27,"6","Grik1"
"Foxp2",2.63874859484513e-30,1.77921778944965,0.402,0.127,4.6275734107799e-26,"6","Foxp2"
"Rftn11",2.67760187326676e-30,1.70765142012314,0.516,0.205,4.69571040514792e-26,"6","Rftn1"
"Lingo22",3.93589482430733e-29,0.689233523008225,1,0.947,6.90237875338777e-25,"6","Lingo2"
